original,after_file,orig_size,after_size,savings_bytes,savings_pct
"assets/AA.jpeg","assets/img/webp/AA.webp",8713,9556,-843,-9.7
"assets/Derick.jpg","assets/img/webp/Derick.webp",437620,253638,183982,42.0
"assets/Cephas.jpg","assets/img/webp/Cephas.webp",230014,138462,91552,39.8
"assets/Hosea.jpg","assets/img/webp/Hosea.webp",340741,200656,140085,41.1
"assets/ChurchChoir.png","assets/img/webp/ChurchChoir.webp",7501533,1253300,6248233,83.3
"assets/YA.jpg","assets/img/webp/YA.webp",147007,42626,104381,71.0
"assets/logo.jpg","assets/img/webp/logo.webp",105673,35220,70453,66.7
"assets/MP.png","assets/img/webp/MP.webp",53996,17726,36270,67.2
"assets/ALO.png","assets/img/webp/ALO.webp",5972814,828280,5144534,86.1
"assets/icon2.png","assets/img/webp/icon2.webp",22294,11606,10688,47.9
"assets/AP.png","assets/img/webp/AP.webp",33204,8526,24678,74.3
"assets/PY.jpg","assets/img/webp/PY.webp",9314,9724,-410,-4.4
"assets/icon.png","assets/img/webp/icon.webp",27431,12468,14963,54.5
"assets/TUMSDA.png","assets/img/webp/TUMSDA.webp",504698,66954,437744,86.7
"assets/Sabbath.png","assets/img/webp/Sabbath.webp",3697212,690620,3006592,81.3
"assets/Till.jpg","assets/img/webp/Till.webp",304563,71940,232623,76.4
"assets/SS.png","assets/img/webp/SS.webp",11610,13802,-2192,-18.9
"assets/img/jpg/icon2.jpg","assets/img/webp/icon2.webp",22294,11606,10688,47.9
"assets/img/jpg/icon.jpg","assets/img/webp/icon.webp",27431,12468,14963,54.5
"assets/img/jpg/Sabbath.jpg","assets/img/webp/Sabbath.webp",3697212,690620,3006592,81.3
"assets/img/jpg/Derick.jpg","assets/img/webp/Derick.webp",437620,253638,183982,42.0
"assets/img/jpg/Cephas.jpg","assets/img/webp/Cephas.webp",230014,138462,91552,39.8
"assets/img/jpg/EGW.jpg","assets/img/webp/EGW.webp",28191,17618,10573,37.5
"assets/img/jpg/Hosea.jpg","assets/img/webp/Hosea.webp",340741,200656,140085,41.1
"assets/img/jpg/YA.jpg","assets/img/webp/YA.webp",147007,42626,104381,71.0
"assets/img/jpg/logo.jpg","assets/img/webp/logo.webp",105673,35220,70453,66.7
"assets/img/jpg/SS.jpg","assets/img/webp/SS.webp",11610,13802,-2192,-18.9
"assets/img/jpg/MP.jpg","assets/img/webp/MP.webp",53996,17726,36270,67.2
"assets/img/jpg/PY.jpg","assets/img/webp/PY.webp",9314,9724,-410,-4.4
"assets/img/jpg/TUMSDA.jpg","assets/img/webp/TUMSDA.webp",504698,66954,437744,86.7
"assets/img/jpg/AB.jpg","assets/img/webp/AB.webp",6912,7914,-1002,-14.5
"assets/img/jpg/AA.jpg","assets/img/webp/AA.webp",8713,9556,-843,-9.7
"assets/img/jpg/ALO.jpg","assets/img/webp/ALO.webp",5972814,828280,5144534,86.1
"assets/img/jpg/BS.jpg","assets/img/webp/BS.webp",49214,45476,3738,7.6
"assets/img/jpg/ChurchChoir.jpg","assets/img/webp/ChurchChoir.webp",7501533,1253300,6248233,83.3
"assets/img/jpg/AP.jpg","assets/img/webp/AP.webp",33204,8526,24678,74.3
"assets/img/jpg/Till.jpg","assets/img/webp/Till.webp",304563,71940,232623,76.4
"assets/img/original/AA.jpeg","assets/img/webp/AA.webp",8713,9556,-843,-9.7
"assets/img/original/Derick.jpg","assets/img/webp/Derick.webp",437620,253638,183982,42.0
"assets/img/original/Cephas.jpg","assets/img/webp/Cephas.webp",230014,138462,91552,39.8
"assets/img/original/Hosea.jpg","assets/img/webp/Hosea.webp",340741,200656,140085,41.1
"assets/img/original/ChurchChoir.png","assets/img/webp/ChurchChoir.webp",7501533,1253300,6248233,83.3
"assets/img/original/YA.jpg","assets/img/webp/YA.webp",147007,42626,104381,71.0
"assets/img/original/logo.jpg","assets/img/webp/logo.webp",105673,35220,70453,66.7
"assets/img/original/MP.png","assets/img/webp/MP.webp",53996,17726,36270,67.2
"assets/img/original/ALO.png","assets/img/webp/ALO.webp",5972814,828280,5144534,86.1
"assets/img/original/icon2.png","assets/img/webp/icon2.webp",22294,11606,10688,47.9
"assets/img/original/AP.png","assets/img/webp/AP.webp",33204,8526,24678,74.3
"assets/img/original/PY.jpg","assets/img/webp/PY.webp",9314,9724,-410,-4.4
"assets/img/original/icon.png","assets/img/webp/icon.webp",27431,12468,14963,54.5
"assets/img/original/TUMSDA.png","assets/img/webp/TUMSDA.webp",504698,66954,437744,86.7
"assets/img/original/Sabbath.png","assets/img/webp/Sabbath.webp",3697212,690620,3006592,81.3
"assets/img/original/Till.jpg","assets/img/webp/Till.webp",304563,71940,232623,76.4
"assets/img/original/SS.png","assets/img/webp/SS.webp",11610,13802,-2192,-18.9
"assets/img/original/AB.png","assets/img/webp/AB.webp",6912,7914,-1002,-14.5
"assets/img/original/BS.jpeg","assets/img/webp/BS.webp",49214,45476,3738,7.6
"assets/img/original/EGW.png","assets/img/webp/EGW.webp",28191,17618,10573,37.5
"assets/AB.png","assets/img/webp/AB.webp",6912,7914,-1002,-14.5
"assets/BS.jpeg","assets/img/webp/BS.webp",49214,45476,3738,7.6
"assets/EGW.png","assets/img/webp/EGW.webp",28191,17618,10573,37.5
